Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH_mean,Pack_SOH_median,Pack_SOH_std,Pack_SOH_min,Pack_SOH_max,Pack_SOH_skew,Predicted_SOH,Predicted_Health_Status
NMC,15,E3-400,2.1,1.7676,5,25,21.042857142857144,3.669,3.6867,3.7028,3.6864,3.6706,3.6551,3.6343,3.6529,3.6681,3.6982,3.7338,3.7007,3.6718,3.6362,3.5974,3.6343,3.6672,3.7403,3.7903,3.7248,3.6752,0.8417142857142857,3.680766666666667,3.6718,0.0429734957076257,3.5974,3.7903,0.6049589609839825,0.8444968785629083,Healthy
NMC,16,E3-500,2.1,1.6929,5,25,20.15357142857143,3.6799,3.6982,3.7146,3.6969,3.6821,3.6644,3.6442,3.6628,3.679,3.7155,3.7456,3.7109,3.6836,3.6476,3.6052,3.6393,3.6777,3.7397,3.802,3.7341,3.6876,0.8061428571428572,3.690995238095239,3.6836,0.043227357959867,3.6052,3.802,0.5205787368333608,0.814485847251619,Healthy
NMC,17,E3-600,2.1,1.5726,5,25,18.721428571428568,3.7019,3.7189,3.7348,3.7174,3.7041,3.6873,3.6684,3.6861,3.7003,3.7335,3.7642,3.7292,3.7065,3.6737,3.6312,3.6662,3.6991,3.7726,3.8194,3.7506,3.7112,0.7488571428571428,3.713171428571429,3.7065,0.0415460243929204,3.6312,3.8194,0.5907737767495619,0.7634717626277843,Healthy
NMC,18,E4-100,2.1,1.9052,5,25,22.68095238095238,3.6458,3.6647,3.6746,3.6551,3.647,3.6272,3.6173,3.6371,3.6449,3.6811,3.7028,3.6678,3.648,3.6083,3.5881,3.6238,3.6442,3.723,3.7568,3.6883,3.6498,0.9072380952380952,3.656938095238095,3.648,0.038867215956259,3.5881,3.7568,0.801480218073244,0.917041552402245,Healthy
NMC,19,E4-200,2.1,1.8324,5,25,21.81428571428572,3.6529,3.6715,3.6855,3.6687,3.6545,3.6352,3.621,3.638,3.652,3.6895,3.7155,3.678,3.6557,3.6176,3.5878,3.6247,3.6514,3.7217,3.7735,3.705,3.6579,0.8725714285714286,3.664647619047619,3.6557,0.0415400243024437,3.5878,3.7735,0.7266417167615343,0.8635064056824613,Healthy
NMC,20,E4-300,2.1,1.7794,5,25,21.183333333333334,3.6616,3.6805,3.6954,3.6774,3.6631,3.6449,3.6269,3.647,3.66,3.6957,3.7273,3.6907,3.6644,3.6325,3.5912,3.6294,3.6594,3.7323,3.7862,3.7158,3.6672,0.8473333333333334,3.6737571428571423,3.6644,0.0430219545282239,3.5912,3.7862,0.6940890665845876,0.8334255178776172,Healthy
NMC,21,E4-400,2.1,1.7229,5,25,20.51071428571429,3.6728,3.6886,3.7072,3.6892,3.6743,3.6576,3.6374,3.6569,3.6721,3.7078,3.7385,3.7031,3.6759,3.6436,3.5999,3.639,3.6709,3.7444,3.7965,3.7317,3.6796,0.8204285714285714,3.685095238095237,3.6759,0.0435850143534504,3.5999,3.7965,0.6171634393841487,0.8228425220929186,Healthy
NMC,22,E4-500,2.1,1.6562,5,25,19.71666666666666,3.6799,3.6948,3.7134,3.6957,3.6817,3.6672,3.6458,3.6635,3.679,3.7103,3.7444,3.7093,3.6833,3.6526,3.6092,3.6433,3.6777,3.7478,3.8011,3.7344,3.687,0.7886666666666666,3.691495238095238,3.6833,0.042270905788621,3.6092,3.8011,0.6421276379146882,0.8057957588641652,Healthy
NMC,23,E4-600,2.1,1.5474,5,25,18.42142857142857,3.7034,3.7217,3.7363,3.7189,3.7059,3.6879,3.67,3.6895,3.7022,3.7394,3.7661,3.7329,3.7078,3.6721,3.6334,3.6721,3.7007,3.7735,3.8216,3.7531,3.7127,0.7368571428571429,3.7152952380952384,3.7078,0.0416342584441043,3.6334,3.8216,0.584491548536574,0.7644118925676645,Healthy
NMC,24,H3-100,2.1,1.8995,5,25,22.61309523809524,3.6449,3.6641,3.6743,3.6554,3.6461,3.6259,3.616,3.6368,3.6442,3.6821,3.7022,3.6625,3.647,3.6092,3.5869,3.6284,3.6436,3.7106,3.7571,3.687,3.6495,0.9045238095238096,3.655895238095238,3.647,0.0378555342874786,3.5869,3.7571,0.8145062217136771,0.9262875515236169,Healthy
